epoch,loss,val_loss
0,0.014619359746575356,0.00495111383497715
1,0.00481365155428648,0.01743283122777939
2,0.005296638701111078,0.004145598970353603
3,0.004364367108792067,0.0038427666295319796
4,0.005605036858469248,0.003468252718448639
5,0.003977562300860882,0.0035850517451763153
6,0.004096700809895992,0.004178935661911964
7,0.0037755274679511786,0.0025591664016246796
8,0.003551952773705125,0.002851518103852868
9,0.002826257608830929,0.0027014517690986395
10,0.0025262318085879087,0.001886954647488892
11,0.002245645271614194,0.0017851401353254914
12,0.002351389965042472,0.0030949567444622517
13,0.002033593598753214,0.0026876286137849092
14,0.0026393397711217403,0.0020943982526659966
15,0.002109164372086525,0.0019038646714761853
16,0.002186358207836747,0.0023559669498354197
17,0.0020830435678362846,0.0016652655322104692
18,0.0018571825930848718,0.005106585565954447
19,0.0019090492278337479,0.0023962389677762985
20,0.001965890871360898,0.0016367040807381272
21,0.0018016350222751498,0.0021257433108985424
22,0.0017012973548844457,0.001984372967854142
23,0.0018494148971512914,0.001953915460035205
24,0.0018715376500040293,0.004037195350974798
25,0.0018226898973807693,0.0016511441208422184
26,0.0018003206932917237,0.0018947339849546552
27,0.002000832464545965,0.0026025595143437386
28,0.0017738272435963154,0.0019656962249428034
29,0.0018956520361825824,0.0017036416102200747
30,0.0017240764573216438,0.0016161208041012287
31,0.0017718271119520068,0.0016510834684595466
32,0.001654961844906211,0.0017877956852316856
33,0.0016244396101683378,0.0034514854196459055
34,0.001690331264398992,0.0017534999642521143
35,0.0018578646704554558,0.0025097590405493975
36,0.0018501743907108903,0.001636292552575469
37,0.001616621040739119,0.0016017688903957605
38,0.00184719602111727,0.0017428171122446656
39,0.00163374375551939,0.0019565613474696875
40,0.0016107092378661036,0.0017074818024411798
41,0.001454664976336062,0.0018458174308761954
42,0.0015597149031236768,0.0015585740329697728
43,0.0018446926260367036,0.0017010415904223919
44,0.0016327450284734368,0.001859894022345543
45,0.0017597475089132786,0.0020352897699922323
46,0.001611424726434052,0.0016852200496941805
47,0.0018373829079791903,0.0027789040468633175
48,0.0016710477648302913,0.0021131213288754225
49,0.0017278180457651615,0.0024786717258393764
50,0.0018657941836863756,0.0016544724348932505
51,0.0016414212295785546,0.0024111405946314335
52,0.0017809198470786214,0.0021945275366306305
53,0.0016925662057474256,0.002211577957496047
54,0.001692586112767458,0.0015568151138722897
55,0.00167110248003155,0.0019909546244889498
56,0.0016511266585439444,0.001965390285477042
57,0.0014807396801188588,0.001557370531372726
58,0.0016009382670745254,0.0017263325862586498
59,0.0015058268327265978,0.0015265042893588543
60,0.0017167936312034726,0.002054484561085701
61,0.0016587646678090096,0.0015471407677978277
62,0.0016972002340480685,0.002286092145368457
63,0.0016907171811908484,0.0015836084494367242
64,0.001635932014323771,0.002207148354500532
65,0.0017736114095896482,0.0020496859215199947
66,0.0015994830755516887,0.0015862779691815376
67,0.0016336156986653805,0.0015546223148703575
68,0.001644462114199996,0.0015566955553367734
69,0.0017015178455039859,0.0022224148269742727
70,0.0017517009982839227,0.0023448942229151726
71,0.0016415638383477926,0.004507869482040405
72,0.001660774345509708,0.0016769726062193513
73,0.0016496545867994428,0.0015455259708687663
74,0.0014363800873979926,0.0026535443030297756
75,0.0015906407497823238,0.0015200325287878513
76,0.0016391343669965863,0.0021799916867166758
77,0.0016610120655968785,0.0019946482498198748
78,0.00160512188449502,0.0016250527696684003
79,0.0016518781194463372,0.003793917829170823
